Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2018-01-31,2776.42,,,246.4515,,2776.42,,,33.60275457999
2017-12-31,2664.34,48.93,,246.524,2.4,2663.5564468774,48.915610224562,,32.253220940717
2017-11-30,2593.61,48.676666666667,,246.669,2.35,2591.3230884911,48.633746092942,,31.378944000635
2017-10-31,2557.0,48.423333333333,,246.663,2.36,2554.8075126792,48.381812979652,,30.920393290334
2017-09-30,2492.84,48.17,107.08,246.819,2.2,2489.1282974974,48.098277502948,106.92056373294,30.168114410679
2017-08-31,2456.22,47.853333333333,106.06,245.519,2.21,2465.548912019,48.035083964988,106.46282401769,29.914959397497
2017-07-31,2454.1,47.536666666667,105.04,244.786,2.32,2470.7974563496,47.860101496818,105.7546818854,30.002220744019
2017-06-30,2433.99,47.22,104.02,244.955,2.19,2448.8599395195,47.508480455594,104.65548786512,29.748503240633
2017-05-31,2395.35,46.94,102.77666666667,244.733,2.3,2412.1699996527,47.26960977882,103.49835806777,29.313344980271
2017-04-30,2359.31,46.66,101.53333333333,244.524,2.3,2377.9076428694,47.027805000736,102.33368626393,28.904245956275
2017-03-31,2366.82,46.38,100.29,243.801,2.48,2392.5510528259,46.884223485548,101.38030990439,29.086921742465
2017-02-28,2329.91,46.153333333333,98.376666666667,243.603,2.42,2357.1541170059,46.693013755988,99.527005270871,28.655106525184
2017-01-31,2275.12,45.926666666667,96.463333333333,242.839,2.43,2308.964938416,46.609876873155,97.898332619555,28.063573742124
2016-12-31,2246.63,45.7,94.55,241.432,2.49,2293.3386354957,46.650127365055,96.51574490954,27.865098223924
2016-11-30,2164.99,45.476666666667,92.73,241.353,2.14,2210.7246770705,46.43734577569,94.688889696834,26.850953531056
2016-10-31,2143.02,45.253333333333,90.91,241.729,1.76,2184.8867679509,46.137417852223,92.686048695026,26.525143085071
2016-09-30,2157.69,45.03,89.09,241.428,1.63,2202.5860175083,45.966959279785,90.943735337243,26.727873346479
2016-08-31,2170.95,44.84,88.366666666667,240.849,1.56,2221.4494721797,45.883043981914,90.422204576311,26.948872433724
2016-07-31,2148.9,44.65,87.643333333333,240.628,1.5,2200.9060805476,45.730586112173,89.764412142394,26.694003256096
2016-06-30,2083.89,44.46,86.92,241.018,1.64,2130.8691314964,45.462304433694,88.879520948643,25.840372927671
2016-05-31,2065.55,44.266666666667,86.76,240.229,1.81,2119.0526365468,45.413278163752,89.007289461306,25.69470992345
2016-04-30,2075.54,44.073333333333,86.6,239.261,1.81,2137.916109646,45.397867224495,89.202585879019,25.922337543674
2016-03-31,2021.95,43.88,86.44,238.132,1.89,2092.5898679094,45.413013874658,89.459911561655,25.372298620188
2016-02-29,1904.42,43.716666666667,86.47,237.111,1.78,1979.4407076433,45.438794804965,89.876307741944,24.00260677729
2016-01-31,1918.6,43.553333333333,86.5,236.916,2.09,1995.8206617535,45.306287165071,89.981490275034,24.206167203878
2015-12-31,2054.08,43.39,86.53,236.525,2.24,2140.2857927069,45.210994968819,90.161497917768,25.965424037124
2015-11-30,2080.62,43.096666666667,87.906666666667,237.336,2.26,2160.5315667661,44.751905083932,91.282948478107,26.225851890972
2015-10-31,2024.81,42.803333333333,89.283333333333,237.838,2.07,2098.1401698425,44.353491473188,92.516803139112,25.491441046067
2015-09-30,1944.41,42.51,90.66,237.945,2.17,2013.9223817059,44.029726470403,93.901082140831,24.496752170486
2015-08-31,2039.87,42.253333333333,92.076666666667,238.316,2.17,2109.505955559,43.69575429262,95.219929064771,25.693658417058
2015-07-31,2094.14,41.996666666667,93.493333333333,238.654,2.32,2162.5614664326,43.368816340811,96.548024504094,26.3811363364
2015-06-30,2099.29,41.74,94.91,238.638,2.36,2168.0250816509,43.106653634375,98.017549028235,26.495895292785
2015-05-31,2111.94,41.43,96.356666666667,237.805,2.2,2188.7293408885,42.93637915519,99.860158680431,26.806111379651
2015-04-30,2094.86,41.12,97.803333333333,236.599,1.94,2182.0945536118,42.832326763849,101.87607811107,26.791371680192
2015-03-31,2079.99,40.81,99.25,236.119,2.04,2171.009768316,42.595833943901,103.59315165234,26.728605452928
2015-02-28,2082.2,40.353333333333,100.27,234.722,1.98,2186.2514519304,42.36986533005,105.28068057106,26.995513699383
2015-01-31,2028.18,39.896666666667,101.29,233.707,1.88,2138.7806239009,42.072309965042,106.8135418922,26.492295420383
2014-12-31,2054.27,39.44,102.31,234.812,2.21,2156.0990192367,41.395018823569,107.38144969167,26.794085482573
2014-11-30,2044.57,39.123333333333,103.52666666667,236.151,2.33,2133.7506229277,40.829825768258,108.04232160778,26.606817147143
2014-10-31,1937.27,38.806666666667,104.74333333333,237.433,2.3,2010.8539984122,40.280673747963,108.72183569681,25.162748283083
2014-09-30,1993.23,38.49,105.96,238.031,2.53,2063.7417955854,39.851608550987,109.7084032752,25.918436892606
2014-08-31,1961.53,38.12,105.01333333333,237.852,2.42,2032.448795028,39.498222339942,108.81007315473,25.617606421799
2014-07-31,1973.1,37.75,104.06666666667,238.25,2.54,2041.0218453305,39.049503147954,107.64904973767,25.817545976159
2014-06-30,1947.09,37.38,103.12,238.343,2.6,2013.3305829624,38.651678757085,106.62817317899,25.558007623511
2014-05-31,1889.77,36.996666666667,102.36333333333,237.9,2.56,1957.6992482346,38.326540542245,106.04286273644,24.943274109903
2014-04-30,1864.26,36.613333333333,101.60666666667,237.072,2.71,1938.0174520399,38.061900688398,105.62662570865,24.786315396963
2014-03-31,1863.52,36.23,100.85,236.293,2.72,1943.6348062786,37.787568167487,105.18565414549,24.956039153965
2014-02-28,1817.04,35.816666666667,100.63333333333,234.781,2.71,1907.3614711582,37.597042456587,105.63561766071,24.590930877894
2014-01-31,1822.36,35.403333333333,100.41666666667,233.916,2.86,1920.0198171138,37.300589121736,105.79797074591,24.859609093633
2013-12-31,1807.78,34.99,100.2,233.049,2.9,1911.7442798296,37.002252680767,105.96243837133,24.861869296462
2013-11-30,1783.54,34.793333333333,98.256666666667,233.069,2.72,1885.9484028764,36.791118467063,103.89842872712,24.642077092412
2013-10-31,1720.03,34.596666666667,96.313333333333,233.546,2.62,1815.0770021538,36.508441142216,101.63550422615,23.834737887631
2013-09-30,1687.17,34.4,94.37,234.149,2.81,1775.816156614,36.207421769899,99.328325361202,23.442287167961
2013-08-31,1670.09,34.023333333333,93.23,233.877,2.74,1759.8831250401,35.852612847779,98.242552046589,23.356649094916
2013-07-31,1668.68,33.646666666667,92.09,233.596,2.58,1760.5125473895,35.49834530557,97.157993437388,23.49246017716
2013-06-30,1618.77,33.27,90.95,233.504,2.3,1708.5287389295,35.114779211491,95.993061896156,22.925333173915
2013-05-31,1639.84,32.883333333333,89.866666666667,232.945,1.93,1734.920379317,34.789958251948,95.077270600356,23.411841781842
2013-04-30,1570.7,32.496666666667,88.783333333333,232.531,1.76,1664.7301695258,34.442084044708,94.098359681075,22.595655396106
2013-03-31,1550.83,32.11,87.7,232.773,1.96,1641.961824374,33.99688823446,92.853537781444,22.419207114603
2013-02-28,1512.31,31.823333333333,87.303333333333,232.166,1.98,1605.3645579671,33.781467721372,92.675230029376,22.052724336862
2013-01-31,1480.4,31.536666666667,86.906666666667,230.28,1.91,1584.3616492965,33.751340997916,93.009720166754,21.900475413822
2012-12-31,1422.29,31.25,86.51,229.601,1.72,1526.6723748372,33.54344874369,92.859000026132,21.238261139846
2012-11-30,1394.51,30.696666666667,86.506666666667,230.221,1.65,1492.82246739,32.860770933147,92.605356418398,20.898162059574
2012-10-31,1437.82,30.143333333333,86.503333333333,231.317,1.75,1531.8930114518,32.115537184902,92.163032786177,21.577109654529
2012-09-30,1443.42,29.59,86.5,231.407,1.72,1537.2612934354,31.513739363978,92.123638221834,21.783690301728
2012-08-31,1403.45,29.166666666667,86.973333333333,230.379,1.68,1501.362353665,31.20149297462,93.041069107861,21.410428453443
2012-07-31,1359.78,28.743333333333,87.446666666667,229.104,1.53,1462.7410288341,30.919746556149,94.068030981563,20.999341293381
2012-06-30,1323.48,28.32,87.92,229.478,1.62,1421.3721194189,30.414708512363,94.42306399742,20.547504086856
2012-05-31,1341.27,27.996666666667,88.126666666667,229.815,1.8,1438.3656567456,30.023368774884,94.506229750016,20.941467419743
2012-04-30,1386.43,27.673333333333,88.333333333333,230.085,2.05,1485.0501038529,29.641804159332,94.616696003651,21.779246906825
2012-03-31,1389.24,27.35,88.54,229.392,2.17,1492.5554590395,29.383973830822,95.12457195543,22.053943972905
2012-02-29,1352.49,27.043333333333,88.01,227.663,1.97,1464.1078666055,29.275156986423,95.273261421487,21.797435963718
2012-01-31,1300.58,26.736666666667,87.48,226.665,1.97,1414.112862021,29.070617894249,95.116481238833,21.213008091803
2011-12-31,1243.32,26.43,86.95,225.672,1.98,1357.8028243646,28.863630157928,94.956210451452,20.523575499432
2011-11-30,1226.42,26.013333333333,86.96,226.23,2.01,1336.0431800822,28.338527251028,94.732893250232,20.345246797646
